CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,pha
0.00963,0.00962,8.69,8.65,20.2,550.0,1
0.03997,0.03991,10.65,10.65,24.3,82.0,0
0.04982,0.0495,7.16,7.15,24.4,77.0,0
0.03312,0.03258,3.14,3.12,24.1,90.0,0
0.01646,0.01644,4.44,4.41,25.1,57.0,0
0.04904,0.04903,10.97,10.97,22.3,210.0,0
0.03409,0.03409,17.36,17.36,21.6,290.0,1
0.03688,0.0368,10.36,10.35,19.7,690.0,1
0.02132,0.00738,9.9,9.89,26.1,36.0,1
0.04032,0.04031,14.35,14.34,20.1,570.0,1
0.04417,0.04417,27.75,27.74,24.4,79.0,0
0.02328,0.00563,7.02,7.0,26.1,36.0,1
0.01903,0.0166,12.54,12.53,23.8,100.0,0
0.03498,0.02394,18.16,18.15,28.4,12.0,0
0.02809,0.0209,9.93,9.92,26.1,36.0,0
0.04182,0.04085,7.91,7.9,25.3,51.0,0
0.01358,0.01358,13.9,13.89,21.0,380.0,1
0.04469,0.04092,1.86,1.83,26.5,29.0,0
0.02481,0.01647,10.76,10.75,27.1,23.0,0
0.02208,0.00303,13.47,13.47,27.1,22.0,1
0.03352,0.01801,14.76,14.75,23.0,150.0,0
0.0402,0.04019,15.29,15.28,21.1,350.0,1
0.02035,0.01899,11.06,11.05,25.4,50.0,0
0.01562,0.01417,7.81,7.79,27.4,20.0,0
0.03134,0.02878,6.1,6.08,23.1,140.0,0
0.03975,0.03648,10.75,10.75,21.0,380.0,1
0.03681,0.03599,11.0,10.99,25.5,47.0,0
0.04882,0.04651,10.91,10.91,22.3,210.0,0
0.01996,0.01979,10.42,10.4,25.7,42.0,0
0.01863,0.01713,9.07,9.06,25.6,46.0,0
0.0103,0.01029,12.63,12.61,21.8,260.0,1
0.04743,0.04727,20.13,20.13,18.9,990.0,1
0.02845,0.02844,5.55,5.53,24.8,66.0,0
0.03096,0.03096,17.59,17.58,22.3,210.0,0
0.04653,0.04598,16.42,16.42,20.0,590.0,1
0.03637,0.03604,5.99,5.97,24.1,90.0,0
0.02548,0.02539,10.51,10.5,25.7,43.0,0
0.02086,0.02084,8.64,8.63,25.8,41.0,0
0.0269,0.02689,26.72,26.72,21.1,360.0,1
0.04164,0.04164,10.7,10.69,21.3,330.0,1
0.01929,0.01839,5.84,5.82,29.1,9.0,0
0.0485,0.04847,27.85,27.84,19.5,750.0,1
0.01023,0.01018,10.28,10.25,19.7,680.0,1
0.01585,0.01581,20.11,20.1,19.8,640.0,1
0.02862,0.01508,9.08,9.07,23.7,110.0,0
0.03608,0.0342,7.36,7.35,21.7,270.0,1
0.02664,0.0128,7.45,7.43,27.5,19.0,0
0.03101,0.03101,24.16,24.16,20.9,400.0,1
